Entry	Reviewed	Entry Name	Protein names	Organism	Length	Gene Names (primary)	Gene Names	PDB
Q96T66	reviewed	NMNA3_HUMAN	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3, NMN/NaMN adenylyltransferase 3 (Nicotinamide-nucleotide adenylyltransferase 3, NMN adenylyltransferase 3) (Nicotinate-nucleotide adenylyltransferase 3, NaMN adenylyltransferase 3, EC 2.7.7.18) (Pyridine nucleotide adenylyltransferase 3, PNAT-3, EC 2.7.7.1)	Homo sapiens (Human)	252	NMNAT3	NMNAT3 FKSG76	1NUP;1NUQ;1NUR;1NUS;1NUT;1NUU;
Q96T68	reviewed	SETB2_HUMAN	Histone-lysine N-methyltransferase SETDB2, EC 2.1.1.366 (Chronic lymphocytic leukemia deletion region gene 8 protein) (Lysine N-methyltransferase 1F) (SET domain bifurcated 2)	Homo sapiens (Human)	719	SETDB2	SETDB2 C13orf4 CLLD8 KMT1F	5TFP;
Q96T88	reviewed	UHRF1_HUMAN	E3 ubiquitin-protein ligase UHRF1, EC 2.3.2.27 (Inverted CCAAT box-binding protein of 90 kDa) (Nuclear protein 95) (Nuclear zinc finger protein Np95, HuNp95, hNp95) (RING finger protein 106) (RING-type E3 ubiquitin transferase UHRF1) (Transcription factor ICBP90) (Ubiquitin-like PHD and RING finger domain-containing protein 1, hUHRF1) (Ubiquitin-like-containing PHD and RING finger domains protein 1)	Homo sapiens (Human)	793	UHRF1	UHRF1 ICBP90 NP95 RNF106	2FAZ;2L3R;2LGG;2LGK;2LGL;2PB7;3ASK;3ASL;3BI7;3CLZ;3DB3;3DB4;3DWH;3FL2;3SHB;3SOU;3SOW;3SOX;3T6R;3ZVY;3ZVZ;4GY5;4QQD;5C6D;5IAY;5XPI;5YY9;5YYA;6B9M;6IIW;6VCS;6VED;6VYJ;6W92;7FB7;
Q96TA1	reviewed	NIBA2_HUMAN	Protein Niban 2 (Meg-3) (Melanoma invasion by ERK, MINERVA) (Niban-like protein 1) (Protein FAM129B)	Homo sapiens (Human)	746	NIBAN2	NIBAN2 C9orf88 FAM129B	7CTP;
Q96TC7	reviewed	RMD3_HUMAN	Regulator of microtubule dynamics protein 3, RMD-3, hRMD-3 (Cerebral protein 10) (Protein FAM82A2) (Protein FAM82C) (Protein tyrosine phosphatase-interacting protein 51) (TCPTP-interacting protein 51)	Homo sapiens (Human)	470	RMDN3	RMDN3 FAM82A2 FAM82C PTPIP51 hucep-10 UNQ3122/PRO10274	7CC7;
Q99062	reviewed	CSF3R_HUMAN	Granulocyte colony-stimulating factor receptor, G-CSF receptor, G-CSF-R (CD antigen CD114)	Homo sapiens (Human)	836	CSF3R	CSF3R GCSFR	2D9Q;
Q99075	reviewed	HBEGF_HUMAN	Proheparin-binding EGF-like growth factor [Cleaved into: Heparin-binding EGF-like growth factor, HB-EGF, HBEGF (Diphtheria toxin receptor, DT-R) ]	Homo sapiens (Human)	208	HBEGF	HBEGF DTR DTS HEGFL	1XDT;2M8S;
Q99081	reviewed	HTF4_HUMAN	Transcription factor 12, TCF-12 (Class B basic helix-loop-helix protein 20, bHLHb20) (DNA-binding protein HTF4) (E-box-binding protein) (Transcription factor HTF-4)	Homo sapiens (Human)	682	TCF12	TCF12 BHLHB20 HEB HTF4	2KNH;4JOL;
Q99250	reviewed	SCN2A_HUMAN	Sodium channel protein type 2 subunit alpha (HBSC II) (Sodium channel protein brain II subunit alpha) (Sodium channel protein type II subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.2)	Homo sapiens (Human)	2005	SCN2A	SCN2A NAC2 SCN2A1 SCN2A2	2KAV;4JPZ;4RLY;6BUT;6J8E;
Q99259	reviewed	DCE1_HUMAN	Glutamate decarboxylase 1, EC 4.1.1.15 (67 kDa glutamic acid decarboxylase, GAD-67) (Glutamate decarboxylase 67 kDa isoform)	Homo sapiens (Human)	594	GAD1	GAD1 GAD GAD67	2OKJ;3VP6;
Q99417	reviewed	MYCBP_HUMAN	c-Myc-binding protein (Associate of Myc 1, AMY-1)	Homo sapiens (Human)	103	MYCBP	MYCBP AMY1	2YY0;
Q99418	reviewed	CYH2_HUMAN	Cytohesin-2 (ARF exchange factor) (ARF nucleotide-binding site opener, Protein ARNO) (PH, SEC7 and coiled-coil domain-containing protein 2)	Homo sapiens (Human)	400	CYTH2	CYTH2 ARNO PSCD2 PSCD2L	1PBV;1R8M;1R8Q;1R8S;1S9D;4JMI;4JMO;4JWL;4JXH;4L5M;4Z21;
Q99435	reviewed	NELL2_HUMAN	Protein kinase C-binding protein NELL2 (NEL-like protein 2) (Nel-related protein 2)	Homo sapiens (Human)	816	NELL2	NELL2 NRP2	6POG;
Q99436	reviewed	PSB7_HUMAN	Proteasome subunit beta type-7, EC 3.4.25.1 (Macropain chain Z) (Multicatalytic endopeptidase complex chain Z) (Proteasome subunit Z)	Homo sapiens (Human)	277	PSMB7	PSMB7 Z	4R3O;4R67;5A0Q;5GJQ;5GJR;5L4G;5LE5;5LEX;5LEY;5LEZ;5LF0;5LF1;5LF3;5LF4;5LF6;5LF7;5LN3;5M32;5T0C;5T0G;5T0H;5T0I;5T0J;5VFO;5VFP;5VFQ;5VFR;5VFS;5VFT;5VFU;6HTB;6HTC;6HTD;6HTP;6HTR;6HUB;6HUC;6HUQ;6HUU;6HUV;6KWY;6MSB;6MSD;6MSE;6MSG;6MSH;6MSJ;6MSK;6R70;6REY;6RGQ;6WJD;6WJN;6XMJ;7LXV;7NHT;7PG9;7V5G;7V5M;
Q99437	reviewed	VATO_HUMAN	V-type proton ATPase 21 kDa proteolipid subunit c'', V-ATPase 21 kDa proteolipid subunit c'' (Vacuolar proton pump 21 kDa proteolipid subunit c'') (hATPL)	Homo sapiens (Human)	205	ATP6V0B	ATP6V0B ATP6F	6WLW;6WM2;6WM3;6WM4;
Q99439	reviewed	CNN2_HUMAN	Calponin-2 (Calponin H2, smooth muscle) (Neutral calponin)	Homo sapiens (Human)	309	CNN2	CNN2	1WYN;
Q99447	reviewed	PCY2_HUMAN	Ethanolamine-phosphate cytidylyltransferase, EC 2.7.7.14 (CTP:phosphoethanolamine cytidylyltransferase) (Phosphorylethanolamine transferase)	Homo sapiens (Human)	389	PCYT2	PCYT2	3ELB;4XSV;
Q99453	reviewed	PHX2B_HUMAN	Paired mesoderm homeobox protein 2B (Neuroblastoma Phox, NBPhox) (PHOX2B homeodomain protein) (Paired-like homeobox 2B)	Homo sapiens (Human)	314	PHOX2B	PHOX2B PMX2B	7MJA;
Q99459	reviewed	CDC5L_HUMAN	Cell division cycle 5-like protein, Cdc5-like protein (Pombe cdc5-related protein)	Homo sapiens (Human)	802	CDC5L	CDC5L KIAA0432 PCDC5RP	2DIM;2DIN;5MQF;5XJC;5YZG;5Z56;5Z57;5Z58;6FF4;6FF7;6ICZ;6ID0;6ID1;6QDV;6ZYM;7A5P;7AAV;7ABG;7ABH;7ABI;7DVQ;
Q99460	reviewed	PSMD1_HUMAN	26S proteasome non-ATPase regulatory subunit 1 (26S proteasome regulatory subunit RPN2) (26S proteasome regulatory subunit S1) (26S proteasome subunit p112)	Homo sapiens (Human)	953	PSMD1	PSMD1	5GJQ;5GJR;5L4K;5LN3;5M32;5T0C;5T0G;5T0H;5T0I;5T0J;5V1Y;5V1Z;5VFP;5VFQ;5VFR;5VFS;5VFT;5VFU;5VGZ;5VHF;5VHH;5VHI;5VHS;6CO4;6MSB;6MSD;6MSE;6MSG;6MSH;6MSJ;6MSK;6OI4;6UYI;6UYJ;6WJD;6WJN;
Q99467	reviewed	CD180_HUMAN	CD180 antigen (Lymphocyte antigen 64) (Radioprotective 105 kDa protein) (CD antigen CD180)	Homo sapiens (Human)	661	CD180	CD180 LY64 RP105	3B2D;
Q99469	reviewed	STAC_HUMAN	SH3 and cysteine-rich domain-containing protein (Src homology 3 and cysteine-rich domain-containing protein)	Homo sapiens (Human)	402	STAC	STAC STAC1	2DL4;6B25;
Q99471	reviewed	PFD5_HUMAN	Prefoldin subunit 5 (Myc modulator 1) (c-Myc-binding protein Mm-1)	Homo sapiens (Human)	154	PFDN5	PFDN5 MM1 PFD5	6NR8;6NR9;6NRB;6NRC;6NRD;
Q99489	reviewed	OXDD_HUMAN	D-aspartate oxidase, DASOX, DDO, EC 1.4.3.1	Homo sapiens (Human)	341	DDO	DDO	6RKF;
Q99490	reviewed	AGAP2_HUMAN	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2, AGAP-2 (Centaurin-gamma-1, Cnt-g1) (GTP-binding and GTPase-activating protein 2, GGAP2) (Phosphatidylinositol 3-kinase enhancer, PIKE)	Homo sapiens (Human)	1192	AGAP2	AGAP2 CENTG1 KIAA0167	2BMJ;2IWR;2RLO;
Q99496	reviewed	RING2_HUMAN	E3 ubiquitin-protein ligase RING2, EC 2.3.2.27 (Huntingtin-interacting protein 2-interacting protein 3, HIP2-interacting protein 3) (Protein DinG) (RING finger protein 1B, RING1b) (RING finger protein 2) (RING finger protein BAP-1) (RING-type E3 ubiquitin transferase RING2)	Homo sapiens (Human)	336	RNF2	RNF2 BAP1 DING HIPI3 RING1B	2H0D;3GS2;3H8H;3IXS;3RPG;4R8P;4S3O;6WI7;6WI8;7ND1;
Q99497	reviewed	PARK7_HUMAN	Parkinson disease protein 7 (Maillard deglycase) (Oncogene DJ1) (Parkinsonism-associated deglycase) (Protein DJ-1, DJ-1) (Protein/nucleic acid deglycase DJ-1, EC 3.1.2.-, EC 3.5.1.-, EC 3.5.1.124)	Homo sapiens (Human)	189	PARK7	PARK7	1J42;1P5F;1PDV;1PDW;1PE0;1Q2U;1SOA;1UCF;2OR3;2R1T;2R1U;2R1V;2RK3;2RK4;2RK6;3B36;3B38;3B3A;3BWE;3CY6;3CYF;3CZ9;3CZA;3EZG;3F71;3SF8;4BTE;4MNT;4MTC;4N0M;4N12;4OGF;4OQ4;4P2G;4P34;4P35;4P36;4RKW;4RKY;4S0Z;4ZGG;5IP5;5SY6;5SY9;5SYA;6AF5;6AF7;6AF9;6AFA;6AFB;6AFC;6AFD;6AFE;6AFF;6AFG;6AFH;6AFI;6AFJ;6AFL;6E5Z;6M8Z;7C62;
Q99500	reviewed	S1PR3_HUMAN	Sphingosine 1-phosphate receptor 3, S1P receptor 3, S1P3 (Endothelial differentiation G-protein coupled receptor 3) (Sphingosine 1-phosphate receptor Edg-3, S1P receptor Edg-3)	Homo sapiens (Human)	378	S1PR3	S1PR3 C9orf108 C9orf47 EDG3	7C4S;7EW2;7EW3;7EW4;
Q99523	reviewed	SORT_HUMAN	Sortilin (100 kDa NT receptor) (Glycoprotein 95, Gp95) (Neurotensin receptor 3, NT3, NTR3)	Homo sapiens (Human)	831	SORT1	SORT1	3F6K;3G2U;3G2V;4MSL;4N7E;4PO7;5MRH;5MRI;6EHO;6X3L;6X48;6X4H;
Q99536	reviewed	VAT1_HUMAN	Synaptic vesicle membrane protein VAT-1 homolog, EC 1.-.-.-	Homo sapiens (Human)	393	VAT1	VAT1	6K9Y;6LHR;6LII;
Q99538	reviewed	LGMN_HUMAN	Legumain, EC 3.4.22.34 (Asparaginyl endopeptidase) (Protease, cysteine 1)	Homo sapiens (Human)	433	LGMN	LGMN PRSC1	4AW9;4AWA;4AWB;4FGU;4N6N;4N6O;5LU8;5LU9;5LUA;5LUB;7O50;
Q99543	reviewed	DNJC2_HUMAN	DnaJ homolog subfamily C member 2 (M-phase phosphoprotein 11) (Zuotin-related factor 1) [Cleaved into: DnaJ homolog subfamily C member 2, N-terminally processed ]	Homo sapiens (Human)	621	DNAJC2	DNAJC2 MPHOSPH11 MPP11 ZRF1	2M2E;6CGH;
Q99547	reviewed	MPH6_HUMAN	M-phase phosphoprotein 6	Homo sapiens (Human)	160	MPHOSPH6	MPHOSPH6 MPP6	6D6Q;6D6R;6H25;
Q99549	reviewed	MPP8_HUMAN	M-phase phosphoprotein 8 (Two hybrid-associated protein 3 with RanBPM, Twa3)	Homo sapiens (Human)	860	MPHOSPH8	MPHOSPH8 MPP8	3LWE;3QO2;3R93;3SVM;6V2S;7M5U;
Q99551	reviewed	MTEF1_HUMAN	Transcription termination factor 1, mitochondrial (Mitochondrial transcription termination factor 1, mTERF, mTERF1)	Homo sapiens (Human)	399	MTERF1	MTERF1 MTERF	3MVA;3MVB;3N6S;3N7Q;5CKY;5CO0;5CRJ;5CRK;
Q99558	reviewed	M3K14_HUMAN	Mitogen-activated protein kinase kinase kinase 14, EC 2.7.11.25 (NF-kappa-beta-inducing kinase, HsNIK) (Serine/threonine-protein kinase NIK)	Homo sapiens (Human)	947	MAP3K14	MAP3K14 NIK	4DN5;4G3D;4IDT;4IDV;6WPP;6Z1Q;6Z1T;
Q99570	reviewed	PI3R4_HUMAN	Phosphoinositide 3-kinase regulatory subunit 4, PI3-kinase regulatory subunit 4, EC 2.7.11.1 (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein)	Homo sapiens (Human)	1358	PIK3R4	PIK3R4 VPS15	7BL1;
Q99574	reviewed	NEUS_HUMAN	Neuroserpin (Peptidase inhibitor 12, PI-12) (Serpin I1)	Homo sapiens (Human)	410	SERPINI1	SERPINI1 PI12	3F02;3F5N;3FGQ;
Q99575	reviewed	POP1_HUMAN	Ribonucleases P/MRP protein subunit POP1, hPOP1	Homo sapiens (Human)	1024	POP1	POP1 KIAA0061	6AHR;6AHU;
Q99581	reviewed	FEV_HUMAN	Protein FEV (Fifth Ewing variant protein) (PC12 ETS domain-containing transcription factor 1, PC12 ETS factor 1, Pet-1)	Homo sapiens (Human)	238	FEV	FEV PET1	2YPR;3ZP5;
Q99584	reviewed	S10AD_HUMAN	Protein S100-A13 (S100 calcium-binding protein A13)	Homo sapiens (Human)	98	S100A13	S100A13	1YUR;1YUS;1YUT;1YUU;2EGD;2H2K;2K8M;2KI4;2KI6;2KOT;2L5X;2LE9;
Q99593	reviewed	TBX5_HUMAN	T-box transcription factor TBX5, T-box protein 5	Homo sapiens (Human)	518	TBX5	TBX5	2X6U;2X6V;4S0H;5BQD;
Q99594	reviewed	TEAD3_HUMAN	Transcriptional enhancer factor TEF-5 (DTEF-1) (TEA domain family member 3, TEAD-3)	Homo sapiens (Human)	435	TEAD3	TEAD3 TEAD5 TEF5	5EMW;7CNL;
Q99598	reviewed	TSNAX_HUMAN	Translin-associated protein X (Translin-associated factor X)	Homo sapiens (Human)	290	TSNAX	TSNAX TRAX	3PJA;3QB5;
Q99613	reviewed	EIF3C_HUMAN	Eukaryotic translation initiation factor 3 subunit C, eIF3c (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110)	Homo sapiens (Human)	913	EIF3C	EIF3C EIF3S8	3J8B;3J8C;6YBD;6YBW;6ZMW;6ZON;6ZP4;7A09;
Q99616	reviewed	CCL13_HUMAN	C-C motif chemokine 13 (CK-beta-10) (Monocyte chemoattractant protein 4) (Monocyte chemotactic protein 4, MCP-4) (NCC-1) (Small-inducible cytokine A13) [Cleaved into: C-C motif chemokine 13, long chain; C-C motif chemokine 13, medium chain; C-C motif chemokine 13, short chain ]	Homo sapiens (Human)	98	CCL13	CCL13 MCP4 NCC1 SCYA13	2RA4;
Q99619	reviewed	SPSB2_HUMAN	SPRY domain-containing SOCS box protein 2, SSB-2 (Gene-rich cluster protein C9)	Homo sapiens (Human)	263	SPSB2	SPSB2 GRCC9 SSB2	3EMW;5XN3;6DN5;6DN6;6JKJ;6JWM;6JWN;6KEY;
Q99623	reviewed	PHB2_HUMAN	Prohibitin-2 (B-cell receptor-associated protein BAP37) (D-prohibitin) (Repressor of estrogen receptor activity)	Homo sapiens (Human)	299	PHB2	PHB2 BAP REA	6IQE;
Q99626	reviewed	CDX2_HUMAN	Homeobox protein CDX-2 (CDX-3) (Caudal-type homeobox protein 2)	Homo sapiens (Human)	313	CDX2	CDX2 CDX3	5LTY;6ES2;6ES3;
Q99627	reviewed	CSN8_HUMAN	COP9 signalosome complex subunit 8, SGN8, Signalosome subunit 8 (COP9 homolog, hCOP9) (JAB1-containing signalosome subunit 8)	Homo sapiens (Human)	209	COPS8	COPS8 CSN8	4D10;4D18;4WSN;6R6H;6R7F;6R7H;6R7I;6R7N;
Q99633	reviewed	PRP18_HUMAN	Pre-mRNA-splicing factor 18 (PRP18 homolog, hPRP18)	Homo sapiens (Human)	342	PRPF18	PRPF18 HPRP18	2DK4;
Q99638	reviewed	RAD9A_HUMAN	Cell cycle checkpoint control protein RAD9A, hRAD9, EC 3.1.11.2 (DNA repair exonuclease rad9 homolog A)	Homo sapiens (Human)	391	RAD9A	RAD9A	3A1J;3G65;3GGR;6HM5;6J8Y;
Q99640	reviewed	PMYT1_HUMAN	Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase, EC 2.7.11.1 (Myt1 kinase)	Homo sapiens (Human)	499	PKMYT1	PKMYT1 MYT1	3P1A;5VCV;5VCW;5VCX;5VCY;5VCZ;5VD0;5VD1;5VD3;
Q99653	reviewed	CHP1_HUMAN	Calcineurin B homologous protein 1 (Calcineurin B-like protein) (Calcium-binding protein CHP) (Calcium-binding protein p22) (EF-hand calcium-binding domain-containing protein p22)	Homo sapiens (Human)	195	CHP1	CHP1 CHP	2E30;7DSV;7DSX;
Q99661	reviewed	KIF2C_HUMAN	Kinesin-like protein KIF2C (Kinesin-like protein 6) (Mitotic centromere-associated kinesin, MCAK)	Homo sapiens (Human)	725	KIF2C	KIF2C KNSL6	2HEH;4UBF;4Y05;5MIO;
Q99675	reviewed	CGRF1_HUMAN	Cell growth regulator with RING finger domain protein 1 (Cell growth regulatory gene 19 protein) (RING finger protein 197)	Homo sapiens (Human)	332	CGRRF1	CGRRF1 CGR19 RNF197	2EA5;
Q99683	reviewed	M3K5_HUMAN	Mitogen-activated protein kinase kinase kinase 5, EC 2.7.11.25 (Apoptosis signal-regulating kinase 1, ASK-1) (MAPK/ERK kinase kinase 5, MEK kinase 5, MEKK 5)	Homo sapiens (Human)	1374	MAP3K5	MAP3K5 ASK1 MAPKKK5 MEKK5	2CLQ;3VW6;4BF2;4BHN;4BIB;4BIC;4BID;4BIE;5ULM;5UOR;5UOX;5UP3;5V19;5V24;5VIL;5VIO;6E2M;6E2N;6E2O;6EJL;6OYT;6OYW;6VRE;6XIH;
Q99685	reviewed	MGLL_HUMAN	Monoglyceride lipase, MGL, EC 3.1.1.23 (HU-K5) (Lysophospholipase homolog) (Lysophospholipase-like) (Monoacylglycerol lipase, MAGL)	Homo sapiens (Human)	303	MGLL	MGLL	3HJU;3JW8;3JWE;3PE6;4UUQ;5ZUN;6AX1;6BQ0;7L4T;7L4U;7L4W;7L50;7PRM;
Q99697	reviewed	PITX2_HUMAN	Pituitary homeobox 2 (ALL1-responsive protein ARP1) (Homeobox protein PITX2) (Paired-like homeodomain transcription factor 2) (RIEG bicoid-related homeobox transcription factor) (Solurshin)	Homo sapiens (Human)	317	PITX2	PITX2 ARP1 RGS RIEG RIEG1	2L7F;2L7M;2LKX;
Q99700	reviewed	ATX2_HUMAN	Ataxin-2 (Spinocerebellar ataxia type 2 protein) (Trinucleotide repeat-containing gene 13 protein)	Homo sapiens (Human)	1313	ATXN2	ATXN2 ATX2 SCA2 TNRC13	3KTR;
Q99704	reviewed	DOK1_HUMAN	Docking protein 1 (Downstream of tyrosine kinase 1) (p62(dok)) (pp62)	Homo sapiens (Human)	481	DOK1	DOK1	2V76;
Q99706	reviewed	KI2L4_HUMAN	Killer cell immunoglobulin-like receptor 2DL4 (CD158 antigen-like family member D) (G9P) (Killer cell inhibitory receptor 103AS, KIR-103AS) (MHC class I NK cell receptor KIR103AS) (CD antigen CD158d)	Homo sapiens (Human)	377	KIR2DL4	KIR2DL4 CD158D KIR103AS	3WYR;
Q99707	reviewed	METH_HUMAN	Methionine synthase, MS, EC 2.1.1.13 (5-methyltetrahydrofolate--homocysteine methyltransferase) (Cobalamin-dependent methionine synthase) (Vitamin-B12 dependent methionine synthase)	Homo sapiens (Human)	1265	MTR	MTR	2O2K;4CCZ;
Q99708	reviewed	CTIP_HUMAN	DNA endonuclease RBBP8, EC 3.1.-.- (CtBP-interacting protein, CtIP) (Retinoblastoma-binding protein 8, RBBP-8) (Retinoblastoma-interacting protein and myosin-like, RIM) (Sporulation in the absence of SPO11 protein 2 homolog, SAE2)	Homo sapiens (Human)	897	RBBP8	RBBP8 CTIP	2L4Z;4D2H;7BGF;
Q99714	reviewed	HCD2_HUMAN	3-hydroxyacyl-CoA dehydrogenase type-2, EC 1.1.1.35 (17-beta-estradiol 17-dehydrogenase, EC 1.1.1.62) (2-methyl-3-hydroxybutyryl-CoA dehydrogenase, MHBD) (3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+)), EC 1.1.1.239) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase, EC 1.1.1.178) (3-hydroxyacyl-CoA dehydrogenase type II) (3alpha(or 20beta)-hydroxysteroid dehydrogenase, EC 1.1.1.53) (7-alpha-hydroxysteroid dehydrogenase, EC 1.1.1.159) (Endoplasmic reticulum-associated amyloid beta-peptide-binding protein) (Mitochondrial ribonuclease P protein 2, Mitochondrial RNase P protein 2) (Short chain dehydrogenase/reductase family 5C member 1) (Short-chain type dehydrogenase/reductase XH98G2) (Type II HADH)	Homo sapiens (Human)	261	HSD17B10	HSD17B10 ERAB HADH2 MRPP2 SCHAD SDR5C1 XH98G2	1SO8;1U7T;2O23;7ONU;
Q99717	reviewed	SMAD5_HUMAN	Mothers against decapentaplegic homolog 5, MAD homolog 5, Mothers against DPP homolog 5 (JV5-1) (SMAD family member 5, SMAD 5, Smad5, hSmad5)	Homo sapiens (Human)	465	SMAD5	SMAD5 MADH5	6FZS;6TCE;
Q99719	reviewed	SEPT5_HUMAN	Septin-5 (Cell division control-related protein 1, CDCrel-1) (Peanut-like protein 1)	Homo sapiens (Human)	369	SEPTIN5	SEPTIN5 PNUTL1 SEPT5	6WCU;
Q99720	reviewed	SGMR1_HUMAN	Sigma non-opioid intracellular receptor 1 (Aging-associated gene 8 protein) (SR31747-binding protein, SR-BP) (Sigma 1-type opioid receptor, SIG-1R, Sigma1-receptor, Sigma1R, hSigmaR1)	Homo sapiens (Human)	223	SIGMAR1	SIGMAR1 OPRS1 SRBP AAG8	5HK1;5HK2;6DJZ;6DK0;6DK1;
Q99728	reviewed	BARD1_HUMAN	BRCA1-associated RING domain protein 1, BARD-1, EC 2.3.2.27 (RING-type E3 ubiquitin transferase BARD1)	Homo sapiens (Human)	777	BARD1	BARD1	1JM7;2NTE;2R1Z;3C5R;3FA2;6M14;7E8I;7JZV;7LYB;7LYC;
Q99729	reviewed	ROAA_HUMAN	Heterogeneous nuclear ribonucleoprotein A/B, hnRNP A/B (APOBEC1-binding protein 1, ABBP-1)	Homo sapiens (Human)	332	HNRNPAB	HNRNPAB ABBP1 HNRPAB	3S7R;
Q99731	reviewed	CCL19_HUMAN	C-C motif chemokine 19 (Beta-chemokine exodus-3) (CK beta-11) (Epstein-Barr virus-induced molecule 1 ligand chemokine, EBI1 ligand chemokine, ELC) (Macrophage inflammatory protein 3 beta, MIP-3-beta) (Small-inducible cytokine A19)	Homo sapiens (Human)	98	CCL19	CCL19 ELC MIP3B SCYA19	2MP1;7STA;
Q99735	reviewed	MGST2_HUMAN	Microsomal glutathione S-transferase 2, Microsomal GST-2, EC 2.5.1.18 (Glutathione peroxidase MGST2, EC 1.11.1.-) (Leukotriene C4 synthase MGST2, EC 4.4.1.20) (Microsomal glutathione S-transferase II, Microsomal GST-II)	Homo sapiens (Human)	147	MGST2	MGST2 GST2	6SSR;6SSS;6SSU;6SSW;
Q99741	reviewed	CDC6_HUMAN	Cell division control protein 6 homolog (CDC6-related protein) (Cdc18-related protein, HsCdc18) (p62(cdc6), HsCDC6)	Homo sapiens (Human)	560	CDC6	CDC6 CDC18L	2CCH;2CCI;4I5L;4I5N;
Q99748	reviewed	NRTN_HUMAN	Neurturin	Homo sapiens (Human)	197	NRTN	NRTN	5MR4;5MR5;5MR9;5NMZ;6GL7;6Q2O;6Q2R;
Q99757	reviewed	THIOM_HUMAN	Thioredoxin, mitochondrial, MTRX, Mt-Trx (Thioredoxin-2)	Homo sapiens (Human)	166	TXN2	TXN2 TRX2	1UVZ;1W4V;1W89;
Q99759	reviewed	M3K3_HUMAN	Mitogen-activated protein kinase kinase kinase 3, EC 2.7.11.25 (MAPK/ERK kinase kinase 3, MEK kinase 3, MEKK 3)	Homo sapiens (Human)	626	MAP3K3	MAP3K3 MAPKKK3 MEKK3	2C60;2JRH;2O2V;2PPH;4Y5O;4YL6;
Q99784	reviewed	NOE1_HUMAN	Noelin (Neuronal olfactomedin-related ER localized protein) (Olfactomedin-1)	Homo sapiens (Human)	485	OLFM1	OLFM1 NOE1 NOEL1	4XAT;6QHJ;
Q99801	reviewed	NKX31_HUMAN	Homeobox protein Nkx-3.1 (Homeobox protein NK-3 homolog A)	Homo sapiens (Human)	234	NKX3-1	NKX3-1 NKX3.1 NKX3A	2L9R;
Q99808	reviewed	S29A1_HUMAN	Equilibrative nucleoside transporter 1 (Equilibrative nitrobenzylmercaptopurine riboside-sensitive nucleoside transporter, Equilibrative NBMPR-sensitive nucleoside transporter) (Nucleoside transporter, es-type) (Solute carrier family 29 member 1)	Homo sapiens (Human)	456	SLC29A1	SLC29A1 ENT1	6OB6;6OB7;
Q99814	reviewed	EPAS1_HUMAN	Endothelial PAS domain-containing protein 1, EPAS-1 (Basic-helix-loop-helix-PAS protein MOP2) (Class E basic helix-loop-helix protein 73, bHLHe73) (HIF-1-alpha-like factor, HLF) (Hypoxia-inducible factor 2-alpha, HIF-2-alpha, HIF2-alpha) (Member of PAS protein 2) (PAS domain-containing protein 2)	Homo sapiens (Human)	870	EPAS1	EPAS1 BHLHE73 HIF2A MOP2 PASD2	1P97;2A24;3F1N;3F1O;3F1P;3H7W;3H82;4GHI;4GS9;4PKY;4XT2;5KIZ;5TBM;5UFP;6BVB;6CZW;6D09;6D0B;6D0C;6I7Q;6I7R;6X21;6X28;6X2H;6X37;6X3D;
Q99816	reviewed	TS101_HUMAN	Tumor susceptibility gene 101 protein (ESCRT-I complex subunit TSG101)	Homo sapiens (Human)	390	TSG101	TSG101	1KPP;1KPQ;1M4P;1M4Q;1S1Q;2F0R;3IV1;3OBQ;3OBS;3OBU;3OBX;3P9G;3P9H;4EJE;4YC1;4ZNY;5VKG;6UD0;6VME;7NLC;
Q99828	reviewed	CIB1_HUMAN	Calcium and integrin-binding protein 1, CIB (Calcium- and integrin-binding protein, CIBP) (Calmyrin) (DNA-PKcs-interacting protein) (Kinase-interacting protein, KIP) (SNK-interacting protein 2-28, SIP2-28)	Homo sapiens (Human)	191	CIB1	CIB1 CIB KIP PRKDCIP	1DGU;1DGV;1XO5;1Y1A;2L4H;2L4I;2LM5;6OCX;6OD0;
Q99832	reviewed	TCPH_HUMAN	T-complex protein 1 subunit eta, TCP-1-eta (CCT-eta) (HIV-1 Nef-interacting protein) [Cleaved into: T-complex protein 1 subunit eta, N-terminally processed ]	Homo sapiens (Human)	543	CCT7	CCT7 CCTH NIP7-1	6NR8;6NR9;6NRA;6NRB;6NRC;6NRD;6QB8;7LUM;7LUP;7NVL;7NVM;7NVN;7NVO;
Q99835	reviewed	SMO_HUMAN	Smoothened homolog, SMO (Protein Gx)	Homo sapiens (Human)	787	SMO	SMO SMOH	4JKV;4N4W;4O9R;4QIM;4QIN;5L7D;5L7I;5V56;5V57;6OT0;6XBJ;6XBK;6XBL;6XBM;
Q99836	reviewed	MYD88_HUMAN	Myeloid differentiation primary response protein MyD88	Homo sapiens (Human)	296	MYD88	MYD88	2JS7;2Z5V;3MOP;4DOM;4EO7;6I3N;7BEQ;7BER;7L6W;
